prgm program
factor 1
termT end
smpl_exprT end
exprT end
stmt_lstT end
stmt_lstT end break no tok consumption
stmt_lstT ;
stmt fun2
var fun2
varT :=
expr 2.5
smpl_expr 2.5
term 2.5
factor 2.5
termT end
smpl_exprT end
exprT end
stmt_lstT end
stmt_lstT end break no tok consumption
sub_decsT begin
cmpd_stmt begin
cmpd_stmtT b
opt_stmt b
stmt_lst b
stmt b
var b
varT :=
expr fun2
smpl_expr fun2
term fun2
factor fun2
factorT (
expr_lst c
expr c
smpl_expr c
term c
factor c
factorT [
expr 4
smpl_expr 4
term 4
factor 4
termT ]
smpl_exprT ]
exprT ]
termT ,
smpl_exprT ,
exprT ,
expr_lstT ,
expr f
smpl_expr f
term f
factor f
factorT [
expr 5
smpl_expr 5
term 5
factor 5
termT ]
smpl_exprT ]
exprT ]
termT )
smpl_exprT )
exprT )
expr_lstT )
termT ;
smpl_exprT ;
exprT ;
stmt_lstT ;
stmt b
var b
varT :=
expr fun2
smpl_expr fun2
term fun2
factor fun2
factorT (
expr_lst c
expr c
smpl_expr c
term c
factor c
factorT [
expr 4
smpl_expr 4
term 4
factor 4
termT ]
smpl_exprT ]
exprT ]
termT ,
smpl_exprT ,
exprT ,
expr_lstT ,
expr 2
smpl_expr 2
term 2
factor 2
termT )
smpl_exprT )
exprT )
expr_lstT )
termT ;
smpl_exprT ;
exprT ;
stmt_lstT ;
stmt if
expr (
smpl_expr (
term (
factor (
expr a
smpl_expr a
term a
factor a
factorT <
termT <
smpl_exprT <
exprT <
smpl_expr 2
term 2
factor 2
termT )
smpl_exprT )
termT then
smpl_exprT then
exprT then
stmt a
var a
varT :=
expr 1
smpl_expr 1
term 1
factor 1
termT else
smpl_exprT else
exprT else
stmtT else
stmt a
var a
varT :=
expr a
smpl_expr a
term a
factor a
factorT [
expr 2
smpl_expr 2
term 2
factor 2
termT ]
smpl_exprT ]
exprT ]
termT ;
smpl_exprT ;
exprT ;
stmt_lstT ;
stmt if
expr (
smpl_expr (
term (
factor (
expr b
smpl_expr b
term b
factor b
factorT >
termT >
smpl_exprT >
exprT >
smpl_expr 4.2
term 4.2
factor 4.2
termT )
smpl_exprT )
termT then
smpl_exprT then
exprT then
stmt a
var a
varT :=
expr c
smpl_expr c
term c
factor c
factorT [
expr a
smpl_expr a
term a
factor a
factorT ]
termT ]
smpl_exprT ]
exprT ]
termT end
smpl_exprT end
exprT end
stmtT end
stmt_lstT end
stmt_lstT end break no tok consumption
